timestamp,datetime,open,high,low,close,volume
1734177600000,2024-12-14T12:00:00,121.45,121.8,117.87,119.96,146097.078
1734192000000,2024-12-14T16:00:00,119.94,119.97,116.13,117.49,174106.8
1734206400000,2024-12-14T20:00:00,117.45,118.63,115.42,118.21,77067.904
1734220800000,2024-12-15T00:00:00,118.23,120.15,116.71,117.25,91999.437
1734235200000,2024-12-15T04:00:00,117.25,119.02,114.26,115.4,120384.314
1734249600000,2024-12-15T08:00:00,115.4,117.69,115.27,117.21,85826.924
1734264000000,2024-12-15T12:00:00,117.22,120.66,116.76,120.07,132570.974
1734278400000,2024-12-15T16:00:00,120.07,120.39,118.6,118.99,64817.507
1734292800000,2024-12-15T20:00:00,118.99,122.18,115.61,121.11,162074.023
1734307200000,2024-12-16T00:00:00,121.13,124.03,119.81,120.45,205282.965
1734321600000,2024-12-16T04:00:00,120.45,122.47,119.86,120.14,98427.086
1734336000000,2024-12-16T08:00:00,120.15,120.36,115.38,115.65,173775.749
1734350400000,2024-12-16T12:00:00,115.65,118.49,115.53,118.3,174966.96
1734364800000,2024-12-16T16:00:00,118.3,122.73,118.3,120.08,277275.862
1734379200000,2024-12-16T20:00:00,120.09,120.93,117.76,117.99,88481.375
1734393600000,2024-12-17T00:00:00,118.0,118.2,115.57,117.95,128534.191
1734408000000,2024-12-17T04:00:00,117.96,117.99,115.92,117.1,107009.871
1734422400000,2024-12-17T08:00:00,117.1,119.9,116.91,119.0,121163.983
1734436800000,2024-12-17T12:00:00,118.98,119.75,114.62,115.71,217500.553
1734451200000,2024-12-17T16:00:00,115.71,131.48,114.37,127.57,866405.294
1734465600000,2024-12-17T20:00:00,127.56,128.17,122.03,125.63,374042.102
1734480000000,2024-12-18T00:00:00,125.6,129.11,122.94,124.5,381724.148
1734494400000,2024-12-18T04:00:00,124.5,124.65,117.53,120.07,347597.965
1734508800000,2024-12-18T08:00:00,120.07,121.13,118.68,119.65,161845.177
1734523200000,2024-12-18T12:00:00,119.64,119.85,115.18,116.96,293943.287
1734537600000,2024-12-18T16:00:00,116.95,118.07,113.26,113.51,308551.202
1734552000000,2024-12-18T20:00:00,113.52,114.6,107.1,108.35,654523.986
1734566400000,2024-12-19T00:00:00,108.32,109.97,103.3,109.13,485425.304
1734580800000,2024-12-19T04:00:00,109.13,109.58,107.7,109.21,184001.936
1734595200000,2024-12-19T08:00:00,109.2,111.69,108.01,111.25,172207.992
1734609600000,2024-12-19T12:00:00,111.25,111.76,104.0,106.66,302019.613
1734624000000,2024-12-19T16:00:00,106.65,107.41,95.65,97.06,800245.792
1734638400000,2024-12-19T20:00:00,97.07,101.84,94.69,99.36,361151.321
1734652800000,2024-12-20T00:00:00,99.36,103.3,98.42,101.79,195881.243
1734667200000,2024-12-20T04:00:00,101.75,102.26,98.5,100.01,189061.42
1734681600000,2024-12-20T08:00:00,99.99,100.13,86.69,86.81,729619.994
1734696000000,2024-12-20T12:00:00,86.83,96.9,86.81,96.12,438860.683
1734710400000,2024-12-20T16:00:00,96.12,100.88,95.71,100.08,201001.711
1734724800000,2024-12-20T20:00:00,100.08,102.22,97.77,101.38,157156.414
1734739200000,2024-12-21T00:00:00,101.37,101.93,100.3,101.64,113809.883
1734753600000,2024-12-21T04:00:00,101.64,106.04,101.58,104.35,182042.608
1734768000000,2024-12-21T08:00:00,104.36,104.98,102.34,103.74,154554.898
1734782400000,2024-12-21T12:00:00,103.72,103.8,97.74,100.71,238727.581
1734796800000,2024-12-21T16:00:00,100.7,101.56,98.99,101.05,172190.876
1734811200000,2024-12-21T20:00:00,101.06,102.57,99.27,101.56,164629.887
1734825600000,2024-12-22T00:00:00,101.57,102.16,98.82,99.71,160853.382
1734840000000,2024-12-22T04:00:00,99.68,100.36,96.62,99.92,153607.477
1734854400000,2024-12-22T08:00:00,99.92,103.6,99.83,103.28,109170.581
1734868800000,2024-12-22T12:00:00,103.28,103.93,99.21,100.61,165602.536
1734883200000,2024-12-22T16:00:00,100.63,102.13,98.25,98.62,90890.589
1734897600000,2024-12-22T20:00:00,98.64,100.91,97.54,99.78,122061.477
1734912000000,2024-12-23T00:00:00,99.8,104.51,97.91,104.24,161152.551
1734926400000,2024-12-23T04:00:00,104.24,105.98,101.0,101.95,192773.213
1734940800000,2024-12-23T08:00:00,101.96,103.52,101.4,102.34,110087.526
1734955200000,2024-12-23T12:00:00,102.34,103.48,99.49,99.7,167927.992
1734969600000,2024-12-23T16:00:00,99.68,103.86,99.46,102.77,151017.375
1734984000000,2024-12-23T20:00:00,102.77,107.67,102.49,106.77,172039.847
1734998400000,2024-12-24T00:00:00,106.76,107.15,103.96,105.95,143558.062
1735012800000,2024-12-24T04:00:00,105.95,107.12,105.11,106.13,84981.248
1735027200000,2024-12-24T08:00:00,106.13,107.86,105.81,107.34,104913.15
1735041600000,2024-12-24T12:00:00,107.32,110.83,106.74,110.42,175539.283
1735056000000,2024-12-24T16:00:00,110.41,110.82,108.21,108.21,110673.845
1735070400000,2024-12-24T20:00:00,108.21,108.96,107.17,108.35,62587.336
1735084800000,2024-12-25T00:00:00,108.34,108.85,107.58,107.92,77997.745
1735099200000,2024-12-25T04:00:00,107.93,109.55,107.44,107.74,65328.519
1735113600000,2024-12-25T08:00:00,107.74,110.67,107.6,107.95,97782.754
1735128000000,2024-12-25T12:00:00,107.96,109.68,107.41,108.43,83178.971
1735142400000,2024-12-25T16:00:00,108.43,109.7,106.92,109.47,76783.961
1735156800000,2024-12-25T20:00:00,109.47,109.9,107.78,109.82,54157.894
1735171200000,2024-12-26T00:00:00,109.82,110.35,107.96,108.17,63010.065
1735185600000,2024-12-26T04:00:00,108.15,108.15,106.19,106.45,91085.487
1735200000000,2024-12-26T08:00:00,106.47,106.63,103.09,104.08,145007.479
1735214400000,2024-12-26T12:00:00,104.06,104.32,102.23,102.58,126617.213
1735228800000,2024-12-26T16:00:00,102.58,103.55,101.46,102.6,73797.893
1735243200000,2024-12-26T20:00:00,102.59,103.15,101.08,102.23,79585.266
1735257600000,2024-12-27T00:00:00,102.24,103.99,101.55,103.51,65184.737
1735272000000,2024-12-27T04:00:00,103.51,104.5,101.69,102.52,79584.233
1735286400000,2024-12-27T08:00:00,102.54,106.51,102.54,104.88,99356.401
1735300800000,2024-12-27T12:00:00,104.85,104.97,100.45,100.99,101540.411
1735315200000,2024-12-27T16:00:00,100.98,103.57,100.55,102.65,81425.986
1735329600000,2024-12-27T20:00:00,102.65,102.77,99.68,100.58,78867.838
1735344000000,2024-12-28T00:00:00,100.58,101.01,99.35,100.47,48207.151
1735358400000,2024-12-28T04:00:00,100.49,100.75,99.07,99.2,40141.335
1735372800000,2024-12-28T08:00:00,99.19,100.15,98.9,99.66,41352.785
1735387200000,2024-12-28T12:00:00,99.63,101.05,98.67,99.76,78748.625
1735401600000,2024-12-28T16:00:00,99.76,101.8,99.64,100.61,57796.519
1735416000000,2024-12-28T20:00:00,100.61,101.75,100.22,100.74,42574.645
1735430400000,2024-12-29T00:00:00,100.75,100.87,99.41,100.71,66886.397
1735444800000,2024-12-29T04:00:00,100.73,100.95,99.82,100.92,38970.708
1735459200000,2024-12-29T08:00:00,100.92,100.96,100.0,100.18,40109.265
1735473600000,2024-12-29T12:00:00,100.2,101.66,99.61,100.78,97985.481
1735488000000,2024-12-29T16:00:00,100.8,100.93,98.31,98.99,62139.647
1735502400000,2024-12-29T20:00:00,98.99,99.25,96.83,98.51,76405.108
1735516800000,2024-12-30T00:00:00,98.51,101.49,98.11,100.6,93431.047
1735531200000,2024-12-30T04:00:00,100.61,102.6,99.92,101.78,102280.248
1735545600000,2024-12-30T08:00:00,101.78,103.05,101.4,102.24,69405.493
1735560000000,2024-12-30T12:00:00,102.25,102.78,97.66,98.38,168425.59
1735574400000,2024-12-30T16:00:00,98.39,102.04,97.36,101.18,106128.15
1735588800000,2024-12-30T20:00:00,101.18,102.32,98.18,99.4,92663.175
1735603200000,2024-12-31T00:00:00,99.4,99.59,98.18,98.39,47102.376
1735617600000,2024-12-31T04:00:00,98.39,99.07,97.75,98.78,40734.208
1735632000000,2024-12-31T08:00:00,98.79,102.42,98.71,102.41,126146.248
1735646400000,2024-12-31T12:00:00,102.41,104.79,102.21,104.24,153900.223
1735660800000,2024-12-31T16:00:00,104.26,104.79,101.51,102.85,109439.757
1735675200000,2024-12-31T20:00:00,102.84,104.14,102.64,103.28,56948.024
1735689600000,2025-01-01T00:00:00,103.28,106.04,103.26,104.23,96126.081
1735704000000,2025-01-01T04:00:00,104.23,105.38,103.75,104.16,39389.127
1735718400000,2025-01-01T08:00:00,104.17,104.33,102.03,103.74,71465.023
1735732800000,2025-01-01T12:00:00,103.73,105.3,103.58,104.93,80015.679
1735747200000,2025-01-01T16:00:00,104.91,107.22,104.0,107.19,135764.585
1735761600000,2025-01-01T20:00:00,107.2,108.14,104.67,105.24,127311.865
1735776000000,2025-01-02T00:00:00,105.23,108.08,105.05,105.62,115766.476
1735790400000,2025-01-02T04:00:00,105.64,107.13,105.44,106.05,87253.99
1735804800000,2025-01-02T08:00:00,106.05,107.07,105.6,106.38,131067.72
1735819200000,2025-01-02T12:00:00,106.38,108.75,105.83,106.29,175521.729
1735833600000,2025-01-02T16:00:00,106.28,106.91,104.77,105.11,91750.24
1735848000000,2025-01-02T20:00:00,105.13,105.61,104.61,105.14,59526.65
1735862400000,2025-01-03T00:00:00,105.14,106.89,104.89,106.38,82559.633
1735876800000,2025-01-03T04:00:00,106.38,106.38,104.11,104.64,67125.596
1735891200000,2025-01-03T08:00:00,104.63,107.65,104.54,107.55,78383.594
1735905600000,2025-01-03T12:00:00,107.53,109.77,107.19,109.35,144174.129
1735920000000,2025-01-03T16:00:00,109.35,113.69,108.91,113.26,146528.955
1735934400000,2025-01-03T20:00:00,113.27,114.83,112.36,112.71,122036.425
1735948800000,2025-01-04T00:00:00,112.72,112.88,110.7,112.12,86548.056
1735963200000,2025-01-04T04:00:00,112.14,112.14,110.97,111.79,42957.564
1735977600000,2025-01-04T08:00:00,111.79,112.26,110.52,111.39,73878.893
1735992000000,2025-01-04T12:00:00,111.38,112.78,110.07,110.7,74194.029
1736006400000,2025-01-04T16:00:00,110.69,111.37,110.47,111.03,43190.82
1736020800000,2025-01-04T20:00:00,111.03,111.7,110.85,111.21,40956.714
1736035200000,2025-01-05T00:00:00,111.22,111.85,110.58,111.84,42965.592
1736049600000,2025-01-05T04:00:00,111.84,112.96,111.65,111.89,41076.777
1736064000000,2025-01-05T08:00:00,111.89,112.17,110.71,111.64,60155.36
1736078400000,2025-01-05T12:00:00,111.63,112.87,110.8,112.29,63021.67
1736092800000,2025-01-05T16:00:00,112.29,113.06,111.57,112.65,54737.673
1736107200000,2025-01-05T20:00:00,112.65,116.17,112.64,115.72,109578.846
1736121600000,2025-01-06T00:00:00,115.72,116.92,113.76,115.57,136005.922
1736136000000,2025-01-06T04:00:00,115.58,115.99,113.21,113.59,88350.324
1736150400000,2025-01-06T08:00:00,113.59,114.1,112.56,113.6,72476.497
1736164800000,2025-01-06T12:00:00,113.6,115.4,111.64,114.41,137780.633
1736179200000,2025-01-06T16:00:00,114.41,117.38,113.95,114.58,166848.949
1736193600000,2025-01-06T20:00:00,114.57,114.63,113.01,114.01,61508.009
1736208000000,2025-01-07T00:00:00,114.0,114.9,112.8,113.32,92064.181
1736222400000,2025-01-07T04:00:00,113.33,113.98,112.39,112.92,54496.917
1736236800000,2025-01-07T08:00:00,112.92,113.55,110.83,111.45,78536.759
1736251200000,2025-01-07T12:00:00,111.5,111.66,104.21,106.15,329127.195
1736265600000,2025-01-07T16:00:00,106.16,106.62,102.92,103.62,183027.235
1736280000000,2025-01-07T20:00:00,103.63,104.04,102.07,102.72,91130.654
1736294400000,2025-01-08T00:00:00,102.71,105.03,102.66,103.09,83819.887
1736308800000,2025-01-08T04:00:00,103.12,103.78,100.54,102.59,145567.879
1736323200000,2025-01-08T08:00:00,102.58,103.87,101.25,102.13,75951.027
1736337600000,2025-01-08T12:00:00,102.14,103.33,101.52,102.84,86707.036
